0,gold formula
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"not ( ( not ( ( eventually[7,26] ( eventually[5,24] ( eventually[0,inf] ( x_0 <= 0.0128 ) ) ) and always[30,inf] ( ( ( x_0 <= 0.692 until[10,15] x_0 >= 0.5918 ) or ( x_2 <= -0.8743 and x_1 >= 0.393 ) ) ) ) ) until[14,18] always[26,inf] ( not ( ( ( not ( x_2 >= 0.0924 ) and always ( x_1 >= 0.0188 ) ) and not ( ( x_2 >= -1.9217 and x_1 <= 0.7363 ) ) ) ) ) ) )"
x_[[[[[[  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 x_1 1 1 x_1 1 1 x_1 1 1 x_1 1 x_1 1 x_1 1 x_1 x_1 x_1 1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 1 x_1 x_1 x_1 x_1 x_1 x_1 1 x_1 x_1 1 1 x_1 x_1 x_1 x_1 x_1 x_1 1 1 1 1 x_1 1 1 x_1 x_1 1 x_1 x_1 1 1 1 1 1 1 x_1 x_1 1 x_1 1 1 1 1 1 1 1 x_1 1 x_1 x_11111 1 1 x_1 x_111 1 x,"eventually[18,inf] ( ( eventually[12,14] ( not ( ( ( ( x_2 <= -0.2192 and x_1 <= 1.7174 ) until[16,32] ( x_0 >= 0.1289 and x_0 >= 0.2927 ) ) and always[1,7] ( ( x_2 <= -0.5293 and x_0 >= 0.218 ) ) ) ) ) or ( ( ( always ( not ( x_0 <= 0.2477 ) ) and always ( ( x_2 >= 0.7137 and x_2 >= 1.4537 ) ) ) until not ( ( ( x_2 >= 0.0504 or x_2 >= -0.7943 ) and ( x_0 <= -0.7672 until[12,14] x_1 <= -1.2349 ) ) ) ) and not ( ( ( not ( x_2 <= 1.0537 ) until[9,31] ( x_0 <= -1.5555 and x_2 <= 0.3902 ) ) or not ( eventually[30,33] ( x_1 <= 0.9566 ) ) ) ) ) ) )"
x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"not ( eventually ( ( not ( eventually ( always[11,35] ( ( x_2 >= 0.7843 or x_1 >= -0.5416 ) ) ) ) and always[21,25] ( ( always[14,28] ( eventually[14,36] ( x_2 <= -1.5567 ) ) and ( not ( x_2 >= -2.4023 ) or ( x_1 >= -0.7285 and x_0 <= 1.8976 ) ) ) ) ) ) )"
  [19[21 x_2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 x_1 1 1 x_1 1 1 x_1 1 x_1 1 x_1 1 x_1 x_1                x_1                                                                                                                                                                                                                                                                                                                                                                                                                     ,"( ( not ( ( eventually[3,21] ( always[2,inf] ( ( x_2 >= 0.3043 and x_2 <= -0.275 ) ) ) and ( ( not ( x_2 <= 0.497 ) and always[30,35] ( x_0 <= 0.0977 ) ) until[7,10] eventually ( ( x_0 >= 1.2167 or x_0 >= -0.1815 ) ) ) ) ) or ( not ( eventually[23,26] ( always[11,inf] ( eventually[13,16] ( x_2 >= -1.7067 ) ) ) ) and not ( ( eventually[33,inf] ( ( x_0 >= 1.1245 or x_0 >= 0.8017 ) ) and always[3,9] ( ( x_2 <= -0.4883 or x_2 <= -0.8876 ) ) ) ) ) ) until always[7,inf] ( not ( not ( not ( ( ( x_1 <= 1.9668 or x_1 <= 0.0674 ) until[15,inf] ( x_0 <= 0.8807 until[17,27] x_1 >= 0.3562 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"not ( not ( ( always ( ( ( not ( x_0 >= 1.3341 ) and eventually[0,11] ( x_2 >= 1.345 ) ) until[29,36] eventually[0,inf] ( eventually[5,19] ( x_2 <= 0.3318 ) ) ) ) and ( not ( ( ( x_0 >= -1.4027 until[32,34] x_1 >= -0.4862 ) and not ( x_0 >= -0.9157 ) ) ) until[5,11] always ( ( ( x_1 >= 1.7762 or x_0 >= -0.2346 ) or ( x_0 <= 0.6433 or x_2 >= -2.1128 ) ) ) ) ) ) )"
x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 1 x_1 x_1 x_1 1 x_1 x_1 1 x_1 x_1 1 x_1 1 x_1 1 1 x_1 1 x_1 1 x_1 1 1 x_1 1 1 x_1 1 1 x_1 1 1 1 1 1 x_1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1111111111 1 1 1 1 1 11111111111 1 1 1 1 111111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"eventually[10,inf] ( not ( eventually[17,inf] ( always[20,inf] ( ( ( not ( x_0 <= 0.402 ) and ( x_1 >= -1.7478 or x_2 <= 0.2415 ) ) until[2,30] ( not ( x_1 >= 1.4201 ) or ( x_0 <= -0.3979 or x_0 <= 0.8053 ) ) ) ) ) ) )"
  [1 x_1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1   1 1 1 1 1   1 1 1       1 1 1 1 1           1 1 1                                                                                                                                                                                                                                                                                                                                            ,"eventually ( always[0,5] ( always ( not ( not ( always[33,35] ( ( x_1 <= -0.6511 or x_1 <= 1.8214 ) ) ) ) ) ) )"
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,"eventually[26,32] ( always ( not ( ( ( not ( ( x_1 <= -0.9704 until[28,34] x_0 <= 0.9433 ) ) until[15,17] always[10,19] ( not ( x_2 >= -2.1359 ) ) ) or ( always[9,15] ( always ( x_1 >= 0.1018 ) ) or ( eventually[26,32] ( x_2 >= -0.1966 ) and not ( x_1 <= 0.6776 ) ) ) ) ) ) )"
x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_          x_x_x_x_x_x_x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_x_1 x_1               x_x_1 x_1 x_1                x_x_1 x_1 x_1 x_x_x_1 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                             x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                              x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"always[34,36] ( always[3,35] ( not ( not ( ( eventually[6,inf] ( eventually ( x_0 >= 0.6765 ) ) or ( ( x_1 >= -2.0409 or x_2 >= -1.1024 ) or ( x_1 >= -0.4218 or x_2 >= 0.5528 ) ) ) ) ) ) )"
not ( x_2 <= x_0.111 ),"always[24,inf] ( not ( ( ( eventually[24,34] ( ( ( x_2 <= -0.225 until[23,inf] x_2 <= 0.9262 ) and ( x_0 <= 0.0286 until[3,36] x_2 <= -0.0813 ) ) ) or always[3,7] ( not ( not ( x_2 >= 1.4577 ) ) ) ) or ( eventually[26,29] ( eventually[19,32] ( not ( x_1 >= 0.6027 ) ) ) and eventually[11,16] ( ( ( x_0 >= 0.9552 until[33,inf] x_0 <= 0.9785 ) until eventually ( x_0 >= 0.1469 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( eventually[0,8] ( always[3,25] ( ( eventually[28,33] ( not ( ( x_2 <= 0.7104 until[12,inf] x_0 <= 1.2497 ) ) ) and not ( always[29,31] ( not ( x_0 >= -0.6927 ) ) ) ) ) ) and not ( eventually[18,29] ( ( ( always[13,32] ( ( x_2 <= 0.3381 or x_1 >= -0.7036 ) ) or ( ( x_0 >= 0.0128 until[4,24] x_0 <= -1.9226 ) or not ( x_1 >= -0.4968 ) ) ) or ( ( ( x_2 <= 0.8896 and x_1 <= 1.3914 ) and not ( x_0 >= -0.2043 ) ) until[24,inf] ( ( x_2 >= 0.6365 or x_1 <= 0.3444 ) and ( x_0 <= 0.4037 and x_1 <= 0.0296 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"not ( ( ( ( ( not ( not ( x_1 <= -0.9365 ) ) or ( not ( x_2 <= 1.4118 ) or ( x_0 >= -0.579 or x_0 >= 1.03 ) ) ) or eventually ( ( eventually[11,20] ( x_2 >= -0.844 ) and ( x_2 <= -0.0904 until[20,inf] x_1 <= 0.778 ) ) ) ) until[21,31] always[5,inf] ( not ( not ( ( x_2 <= -0.6088 or x_2 <= 0.4809 ) ) ) ) ) or eventually[31,33] ( not ( not ( eventually[3,6] ( ( x_1 <= -2.489 or x_0 <= 1.5181 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always[9,27] ( ( not ( ( ( not ( always[11,26] ( x_0 >= 0.2578 ) ) and not ( ( x_2 >= -0.451 and x_1 >= -0.3381 ) ) ) until[10,inf] not ( eventually[6,36] ( not ( x_0 >= -0.2963 ) ) ) ) ) until not ( not ( not ( not ( not ( x_2 <= 1.7213 ) ) ) ) ) ) )"
x_[[[[[[[[[[1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_[[[[[[[[[[[           [[[[[[[[[[[[[[[[[[[[[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"not ( ( not ( ( always[13,inf] ( ( not ( x_0 >= 1.0324 ) or ( x_0 <= 2.1713 and x_1 >= 2.2921 ) ) ) until[9,inf] not ( ( not ( x_0 <= 1.3029 ) or ( x_0 <= 0.1581 or x_1 >= -0.4133 ) ) ) ) ) until not ( always[28,31] ( ( eventually[9,36] ( ( x_0 <= 1.1201 or x_1 <= -1.0264 ) ) and ( not ( x_0 >= 1.4019 ) and ( x_2 <= -0.0869 or x_1 >= 0.1628 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( always ( not ( eventually ( ( ( ( x_2 >= 0.9608 or x_0 >= -1.8407 ) or always ( x_1 >= -0.6882 ) ) until[4,12] eventually[6,15] ( ( x_2 >= -0.0486 or x_1 <= 0.2044 ) ) ) ) ) ) until[15,21] eventually ( not ( eventually[10,inf] ( eventually ( always[28,36] ( ( x_1 <= 0.3689 and x_2 <= -1.1417 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always[18,21] ( ( always[33,36] ( not ( ( ( ( x_1 >= -2.6177 until[15,20] x_1 <= 0.4869 ) or ( x_0 >= -0.7356 and x_0 >= 0.5483 ) ) or not ( ( x_2 >= 1.3632 or x_1 <= -0.0475 ) ) ) ) ) and eventually[26,35] ( not ( not ( ( eventually[19,24] ( x_0 <= -0.1437 ) and eventually[31,33] ( x_1 <= -0.9404 ) ) ) ) ) ) )"
x_[[[[[[  x_1 x_1 1 x_1 1 1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                   x_[[[[[[[[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                       x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                            x_x_x_x_x_x_x_x_x_x_x_x_                              x_ x_x_x_x_x_x_x_x_x_x_x_ x_                                   x_ x_x_x_x_x_x_x_x_x_x_x_x_ x_                          x_ x_x_x_x_x_x_x_x_x_x_ x_                                      x_ x_ x_ x_ x_x_x_x_x_x_x_x_x_x_x_ x_ x_                          ,"not ( always[34,36] ( not ( always[1,28] ( ( ( ( x_2 >= -0.686 and x_1 <= -0.1756 ) or ( x_1 <= -1.1693 or x_0 >= -0.0406 ) ) until[19,inf] not ( ( x_1 <= -1.0539 until[0,inf] x_2 <= -0.033 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always[13,21] ( not ( ( always[10,inf] ( ( ( ( x_0 >= -0.1013 and x_2 <= 1.0231 ) until[18,25] not ( x_1 <= -0.9132 ) ) or ( ( x_2 >= 1.7723 or x_2 <= -0.4651 ) or ( x_0 <= 0.6779 until[2,inf] x_0 <= 0.1132 ) ) ) ) until[15,inf] always ( eventually[5,10] ( always ( ( x_0 >= 1.9822 or x_1 <= 1.2328 ) ) ) ) ) ) )"
x_[[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"( ( not ( eventually[13,34] ( ( not ( ( x_2 >= 0.3468 and x_0 <= 0.456 ) ) and ( not ( x_2 >= 1.4864 ) and always[26,28] ( x_1 >= 1.0514 ) ) ) ) ) or eventually[0,inf] ( not ( eventually[24,30] ( ( ( x_1 >= 2.0722 and x_1 >= -1.6273 ) or ( x_1 >= -0.0496 until[13,30] x_1 <= -0.7406 ) ) ) ) ) ) and eventually[6,31] ( ( not ( ( always[15,18] ( ( x_0 <= -0.9279 and x_2 <= -1.9278 ) ) or ( ( x_2 >= -1.2471 until[23,inf] x_0 >= 1.6471 ) until[18,32] ( x_0 >= 0.7901 and x_0 <= 0.4353 ) ) ) ) or not ( ( eventually[6,inf] ( ( x_2 <= 0.0771 or x_1 >= -0.3948 ) ) or always[28,35] ( always[34,36] ( x_2 >= 0.6412 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( always[20,28] ( ( always[31,inf] ( ( not ( ( x_0 <= 0.1801 and x_0 <= -0.0671 ) ) or ( ( x_0 >= -0.2534 or x_2 >= 1.516 ) until ( x_0 <= -0.9208 until[5,15] x_2 <= 1.3451 ) ) ) ) or ( eventually[12,33] ( ( ( x_2 >= -0.689 and x_2 <= -0.5734 ) until[0,10] ( x_2 <= -0.9139 until[19,22] x_2 <= -1.2311 ) ) ) and eventually[5,29] ( eventually[0,4] ( eventually[32,36] ( x_0 >= -0.1132 ) ) ) ) ) ) and not ( eventually[27,31] ( ( eventually[28,31] ( eventually[28,30] ( ( x_0 >= -0.7667 or x_1 >= -0.5651 ) ) ) or not ( not ( always[8,20] ( x_0 <= 2.2586 ) ) ) ) ) ) )"
x_[[[[[[ x_2 x_1 x_1 1 x_1 1 1 x_1 1 x_1 x_1 x_1 1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1                 x_[[[[1 x_1 x_1 x_1                                   x_[[[[[1 x_1                                                                                                                                                                                                                                                                                                                                                                   ,"( always[11,17] ( ( ( always[4,inf] ( not ( always ( x_2 >= -0.4914 ) ) ) or ( ( ( x_0 <= 1.9544 and x_0 >= -1.0048 ) and always ( x_0 <= 0.4399 ) ) until[16,inf] always[24,31] ( eventually[21,29] ( x_1 <= 0.1914 ) ) ) ) or not ( always[19,33] ( ( ( x_1 <= 0.5368 or x_0 <= -0.165 ) and ( x_1 <= 0.577 and x_1 >= 0.4618 ) ) ) ) ) ) or always[0,inf] ( not ( ( eventually[29,36] ( ( ( x_1 >= -1.5149 until[31,inf] x_2 <= 0.7383 ) or eventually[26,36] ( x_1 >= 1.4226 ) ) ) or not ( eventually[34,36] ( eventually[6,24] ( x_0 <= 1.6395 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( not ( not ( eventually[2,inf] ( ( eventually[20,inf] ( eventually ( x_0 >= 0.2317 ) ) and ( eventually[16,inf] ( x_1 <= -1.1184 ) or always[8,26] ( x_2 >= -1.6506 ) ) ) ) ) ) until[3,18] ( eventually[10,inf] ( not ( always[5,9] ( ( eventually[33,35] ( x_1 >= 0.9847 ) or ( x_0 <= -0.1275 or x_0 <= -0.6127 ) ) ) ) ) or always[12,14] ( not ( ( ( ( x_1 <= 1.0362 or x_0 >= -1.037 ) and eventually[21,30] ( x_0 >= 0.4327 ) ) or ( ( x_0 >= 0.3884 until[29,35] x_2 >= 1.5991 ) or always[8,26] ( x_1 >= 0.4143 ) ) ) ) ) ) )"
