,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
214,( ( ( x_2 <= 0.333 or x_2 <= -0.333 ) and ( x_2 <= -0.333 or x_2 <= -0.333 ) ) or ( ( x_2 <= -0.333 and x_2 <= -0.363 ) and ( x_1 <= -0.363 or x_2 <= -0.363 ) ) ),"( ( ( ( x_2 <= -0.1055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_0 <= -0.1555 and x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[1,20] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1505 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) )",( ( ( x_2 <= -0.0391 or x_2 <= -0.039 ) or ( x_2 <= -0.0397 and x_2 <= -0.0397 ) ) or ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ),( x_2 <= 0.2225 or x_1 <= -1.0229 ),( x_2 <= 0.2074 or x_1 <= -1.1805 )
215,not ( ( ( x_2 <= -0.233 or x_2 <= -0.233 ) or ( x_2 <= -0.333 or x_2 <= -0.363 ) ) ),"not ( ( ( ( x_2 <= -0.1555 and x_2 <= -0.1005 ) or ( x_2 <= -0.0055 and x_2 <= -0.1005 ) ) or ( ( x_0 <= -0.1555 until[10,22] x_2 <= -0.1505 ) or ( x_0 <= -0.1555 until[12,20] x_2 <= -0.1505 ) ) ) )",not ( ( ( x_2 <= -0.0393 or x_2 <= -0.0097 ) or ( x_2 <= -0.0097 and x_2 <= -0.3997 ) ) ),"eventually[1,13] ( x_2 >= -0.1222 )","eventually[10,17] ( x_2 >= -0.1581 )"
216,not ( not ( not ( x_2 >= -0.223 ) ) ),not ( ( ( x_2 <= -0.1055 and x_2 <= -0.1555 ) or ( x_2 <= -0.1555 or x_2 <= -0.1525 ) ) ),not ( not ( not ( x_2 <= -0.1891 ) ) ),not ( x_2 <= -0.0223 ),not ( x_2 <= -0.0908 )
217,"( ( ( x_0 >= -0.033 or x_0 >= -0.063 ) and ( x_0 >= -0.663 or x_0 >= -0.6632 ) ) until[1,13] ( ( x_2 >= -0.6632 or x_1 >= -0.0632 ) or ( x_1 >= -0.6632 or x_2 >= -0.6632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_0 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_0 >= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 >= -0.0095 or x_2 <= -0.0095 ) or ( x_0 <= -0.0555 or x_2 <= -0.0555 ) ) ) )","( ( ( ( x_0 >= -0.0331 or x_2 >= -0.0331 ) or ( x_0 >= -0.0397 and x_2 >= -0.0331 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) until[11,28] ( x_0 >= -0.0397 or x_2 >= -0.0391 ) ) ) until[10,22] ( ( ( x_0 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.0391 or x_0 >= -0.0391 ) ) or ( ( x_0 >= -0.0397 and x_0 >= -0.0391 ) or ( x_0 >= -0.039 and x_0 >= -0.0393 ) ) ) )","( x_2 >= -1.2922 until[16,20] x_1 >= -1.2992 )","( not ( x_2 <= -0.9833 ) until[14,17] x_2 <= 2.0805 )"
218,"( ( ( x_2 >= -0.333 or x_0 >= -0.333 ) or ( x_0 >= -0.363 and x_0 >= -0.363 ) ) until[15,23] ( ( x_2 >= -0.3632 or x_0 >= -0.3632 ) or ( x_1 >= -0.3632 or x_2 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_0 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_0 >= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0555 or x_2 <= -0.0505 ) ) or ( ( x_0 >= -0.2005 or x_2 <= -0.0005 ) or ( x_0 >= -0.2555 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0361 or x_2 >= -0.0667 ) or ( x_0 >= -0.0667 or x_2 >= -0.0367 ) ) or ( ( x_0 >= -0.0667 or x_0 >= -0.0667 ) or ( x_0 >= -0.0667 and x_0 >= -0.0667 ) ) ) until[10,22] ( ( ( x_0 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.0697 or x_2 >= -0.066 ) ) or ( ( x_0 >= -0.096 and x_0 >= -0.0697 ) or ( x_0 >= -0.069 and x_0 >= -0.009 ) ) ) )","( x_2 >= -0.3299 or ( x_0 >= -0.2229 until[19,21] x_0 >= -0.2229 ) )","( not ( x_0 <= -1.3922 ) until[11,13] ( ( x_0 >= 0.6866 and ( eventually[19,21] ( not ( always[3,7] ( x_1 <= -0.0447 ) ) ) or x_1 <= -1.1501 ) ) or not ( x_2 <= -0.1656 ) ) )"
219,not ( ( ( x_2 <= -0.533 or x_2 <= -0.533 ) or ( x_2 <= -0.536 or x_2 <= -0.536 ) ) ),not ( ( ( x_2 <= -0.5155 and x_2 <= -0.5055 ) or ( x_2 <= -0.5055 and x_2 <= -0.5005 ) ) ),not ( ( ( x_2 <= -0.566 or x_2 <= -0.5997 ) or ( x_2 <= -0.5697 and x_2 <= -0.5997 ) ) ),not ( x_2 <= -0.4223 ),not ( x_2 <= -0.4458 )
220,not ( ( ( x_2 <= -0.833 or x_2 <= -0.833 ) and ( x_2 <= -0.836 or x_2 <= -0.866 ) ) ),"( ( ( x_2 >= -0.9155 or x_2 <= -0.9055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 until[20,32] x_2 >= -0.0005 ) until[10,22] ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) )","( ( ( x_2 >= -0.8631 or x_2 >= -0.9691 ) or ( x_2 >= -0.9697 or x_2 >= -0.9691 ) ) or ( ( x_2 >= -0.0997 or x_2 >= -0.0997 ) until[11,28] ( x_0 >= -0.0997 or x_2 >= -0.0999 ) ) )",not ( x_2 <= -0.9926 ),"always[2,7] ( x_2 >= -0.9058 )"
221,not ( not ( not ( x_2 >= 0.223 ) ) ),not ( ( ( x_2 <= -0.1055 or x_2 <= -0.1055 ) or ( x_2 <= -0.0055 or x_2 <= -0.1525 ) ) ),not ( not ( not ( x_2 <= 0.1899 ) ) ),not ( x_2 <= 0.1223 ),"not ( ( x_2 <= 0.1553 and ( ( ( x_2 <= 0.6366 until[19,inf] x_1 <= 0.0283 ) and x_0 <= -0.0799 ) or x_0 <= 3.1726 ) ) )"
222,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_0 >= -0.333 or x_0 >= -0.3332 ) ) and ( ( x_2 >= 0.3332 or x_0 >= -0.3632 ) or ( x_1 >= -0.3632 or x_2 >= 0.3632 ) ) ),"( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_0 >= -0.1555 or x_2 >= -0.0505 ) ) or ( ( x_0 >= -0.1505 or x_2 >= -0.0505 ) or ( x_0 >= -0.1555 or x_2 >= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0097 ) or ( x_2 >= -0.0097 or x_2 >= -0.0097 ) ) or ( ( x_0 >= -0.0097 and x_0 >= -0.0397 ) and ( x_0 >= -0.0697 and x_0 >= -0.0697 ) ) ) until[1,19] ( ( ( x_0 >= -0.0097 or x_0 >= -0.0397 ) or ( x_0 >= -0.0697 and x_0 >= -0.0097 ) ) or ( ( x_0 >= -0.0097 and x_0 >= -0.0097 ) and ( x_0 >= -0.009 and x_0 >= -0.0097 ) ) ) )","( x_2 >= 0.2225 until[1,10] x_0 >= -1.0223 )","( eventually[18,inf] ( x_0 >= -0.6372 ) until[6,19] x_2 >= 0.3205 )"
223,"( ( ( ( x_1 <= -0.533 or x_0 >= -0.533 ) or ( x_1 >= -0.3632 or x_0 >= -0.4332 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.3632 ) and ( x_1 >= -0.3632 or x_1 >= -0.3632 ) ) ) until[1,inf] ( ( ( x_1 >= -0.3632 or x_1 >= -0.4322 ) or ( x_1 >= -0.3632 or x_1 >= -0.4322 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.4632 ) or ( x_1 >= -0.2632 or x_1 >= -0.4632 ) ) ) )",( ( x_0 <= -0.7005 or x_1 <= -0.7005 ) or ( x_1 <= -0.5055 or x_0 <= -0.5055 ) ),"( ( ( ( x_0 <= -0.0337 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) ) until[10,22] ( ( ( x_0 <= -0.0397 or x_1 <= -0.0397 ) or ( x_0 <= -0.0397 or x_2 >= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.039 and x_2 >= -0.039 ) ) ) )","( ( x_0 <= -0.6299 or x_1 <= -0.6299 ) or ( x_1 <= -0.6929 until[19,21] x_2 <= -0.2929 ) )","not ( eventually[7,15] ( ( x_1 >= -0.7373 and not ( ( ( ( ( x_2 <= 0.5903 or x_2 <= 0.3889 ) or eventually[9,11] ( x_2 >= 0.038 ) ) or not ( x_2 <= -0.1738 ) ) until[9,20] ( x_1 >= 1.0915 until[3,20] ( x_0 <= 0.0331 and eventually[3,inf] ( not ( x_1 >= 2.5212 ) ) ) ) ) ) ) ) )"
224,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_2 >= 0.333 or x_2 >= 0.533 ) ) and ( ( x_2 >= 0.533 or x_1 >= -0.3632 ) or ( x_2 >= 0.3632 and x_2 >= 0.3632 ) ) ),"( ( ( x_2 >= 0.5155 or x_2 >= -0.0055 ) or ( x_2 >= 0.5155 or x_2 >= -0.0005 ) ) and ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= 0.2225 until[10,20] x_2 >= -0.0005 ) ) )",( ( ( x_2 >= 0.5031 or x_2 >= 0.5667 ) or ( x_2 >= 0.5697 or x_2 >= 0.5697 ) ) and ( ( x_0 >= -0.5697 or x_2 >= -0.0697 ) and ( x_0 >= -0.5697 and x_2 >= -0.0697 ) ) ),( x_2 >= 0.5223 and x_2 >= 0.5223 ),"eventually[2,13] ( ( ( x_2 <= 1.7032 or ( ( x_2 <= -1.4415 or x_1 <= 0.2684 ) until always[15,17] ( x_1 >= -1.4892 ) ) ) and not ( x_2 <= 0.5325 ) ) )"
225,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_2 >= 0.3332 or x_2 >= 0.3332 ) ) and ( ( x_2 >= 0.3332 or x_2 >= 0.5332 ) or ( x_1 >= -0.3332 or x_2 >= -0.3632 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( not ( not ( x_2 <= 0.5099 ) ) ),"eventually[1,13] ( x_2 >= 0.4223 )","( always[10,17] ( x_2 >= 0.4838 ) until x_2 >= -0.2629 )"
226,"( ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) and ( x_2 >= -0.5332 or x_2 >= 0.5332 ) ) until[1,22] ( ( x_2 >= 0.5332 or x_2 >= 0.6332 ) or ( x_1 >= -0.5332 or x_2 >= -0.6332 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 and x_2 <= -0.0005 ) and ( x_2 <= -0.1555 until[10,25] x_2 <= -0.0555 ) ) ) until[1,10] ( ( ( x_2 >= -0.0555 or x_2 >= -0.0505 ) or ( x_2 <= -0.1555 or x_2 <= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.0505 ) or ( x_0 <= -0.1555 or x_2 >= -0.1555 ) ) ) )","( ( ( x_2 >= 0.5661 or x_2 >= -0.5691 ) or ( x_2 >= 0.5697 or x_2 >= -0.6697 ) ) until[10,25] ( ( x_2 >= -0.5997 or x_2 >= -0.5697 ) or ( x_0 >= -0.5697 or x_2 >= -0.5697 ) ) )","eventually[12,16] ( x_2 >= 0.6626 )","eventually[19,21] ( x_2 >= 0.6845 )"
227,"always[25,33] ( always[2,inf] ( not ( x_2 >= -0.0332 ) ) )","always[24,32] ( always[25,33] ( always[15,23] ( x_2 <= -0.2225 ) ) )","always[10,inf] ( always[10,22] ( always[10,13] ( not ( x_2 >= -0.2937 ) ) ) )","always[19,inf] ( x_2 <= 0.1525 )","always[8,13] ( always[14,inf] ( x_2 <= 0.0275 ) )"
228,"( ( ( x_2 <= 0.533 or x_2 <= 0.533 ) or ( x_2 <= -0.333 and x_2 <= 0.533 ) ) until[23,33] ( ( x_2 <= 0.533 or x_2 <= 0.632 ) or ( x_2 <= 0.533 and x_2 <= 0.632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 until[20,23] x_2 <= -0.0005 ) and ( x_2 <= -0.0555 until[20,29] x_2 <= -0.0555 ) ) ) or ( ( ( x_2 <= -0.0555 until[22,30] x_2 <= -0.0555 ) or ( x_2 <= -0.1555 until[20,29] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1555 until[26,32] x_2 <= -0.0555 ) or ( x_2 <= -0.1555 until[22,30] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) until[10,25] ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) ) or eventually[10,25] ( eventually[10,25] ( ( x_2 <= 0.7397 or x_2 <= 0.7399 ) ) ) )","eventually[19,21] ( eventually[16,20] ( x_2 <= 0.629 ) )","always[13,15] ( eventually[10,19] ( always[15,18] ( x_2 <= 0.6631 ) ) )"
229,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.1055 or x_2 >= -0.1055 ) or ( x_2 >= -0.1055 or x_2 >= -0.1525 ) ) ),not ( not ( not ( x_2 >= -0.1391 ) ) ),not ( x_2 >= -0.0223 ),not ( x_2 >= -0.0589 )
230,not ( ( ( x_2 <= 0.533 or x_2 <= 0.533 ) or ( x_2 <= 0.533 or x_2 <= 0.533 ) ) ),( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) ),not ( not ( not ( x_2 <= 0.5999 ) ) ),not ( x_2 <= 0.5223 ),"eventually[3,7] ( x_2 >= 0.5446 )"
231,not ( ( ( x_2 <= 0.5332 or x_2 <= 0.5332 ) or ( x_2 <= 0.5332 or x_2 <= 0.6332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,10] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) )",not ( not ( not ( x_2 <= 0.5999 ) ) ),"eventually[1,13] ( x_2 >= 0.6223 )","always[9,11] ( x_2 >= 0.6208 )"
232,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.1055 or x_2 >= -0.1055 ) or ( x_2 >= -0.0055 or x_2 >= -0.1005 ) ) ),not ( not ( not ( x_2 >= 0.1391 ) ) ),"eventually[1,13] ( x_2 <= -0.0222 )","( not ( x_2 >= 0.7856 ) and not ( always[3,19] ( x_2 >= -0.032 ) ) )"
233,( ( ( x_2 <= 0.533 or x_2 <= 0.533 ) and ( x_2 <= -0.333 or x_2 <= 0.533 ) ) or ( ( x_2 <= 0.533 and x_2 <= 0.633 ) and ( x_2 <= -0.533 or x_2 <= 0.636 ) ) ),"( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_2 <= -0.1555 until[1,20] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.1505 until[10,25] x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[12,20] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1555 until[12,20] x_2 <= -0.0555 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) )",not ( ( ( ( x_2 >= -0.5397 or x_2 >= -0.5397 ) or ( x_2 >= -0.5397 and x_2 >= -0.5397 ) ) or ( ( x_0 >= -0.5397 and x_2 >= -0.0397 ) and ( x_0 >= -0.0397 and x_2 >= -0.0397 ) ) ) ),"eventually[1,13] ( x_2 <= 0.629 )","( x_2 <= 0.2519 or not ( always[6,17] ( eventually ( not ( x_2 <= 0.7373 ) ) ) ) )"
234,( ( ( x_2 <= -0.533 or x_2 <= -0.433 ) or ( x_2 <= -0.433 and x_2 <= -0.463 ) ) and ( ( x_1 <= -0.463 or x_2 <= -0.463 ) or ( x_2 <= -0.463 and x_1 <= -0.463 ) ) ),"( ( ( ( x_2 <= -0.5055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.2005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0397 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) until[10,22] ( ( x_0 <= -0.039 or x_2 <= -0.039 ) or ( x_0 <= -0.039 and x_0 <= -0.039 ) ) ) )",( x_2 <= -0.5299 or x_1 <= -0.6299 ),"( ( x_0 <= -0.5245 and always[19,21] ( eventually[15,19] ( x_1 <= -0.4177 ) ) ) or x_2 <= -0.5709 )"
235,not ( not ( not ( x_2 <= -0.322 ) ) ),not ( ( ( x_2 >= -0.4155 or x_2 >= -0.4055 ) or ( x_2 >= -0.2005 or x_2 >= -0.2005 ) ) ),not ( not ( not ( x_2 >= -0.3391 ) ) ),not ( x_2 >= -0.3222 ),not ( not ( x_2 <= -0.3634 ) )
236,"( ( ( x_2 >= -0.333 or x_0 >= -0.333 ) or ( x_1 >= -0.333 and x_0 >= -0.363 ) ) until[15,23] ( ( x_1 >= -0.333 or x_0 >= -0.3632 ) or ( x_1 >= -0.3632 or x_2 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_2 >= -0.0367 or x_0 >= -0.0367 ) ) or ( ( x_0 >= -0.0367 or x_0 >= -0.0367 ) or ( x_1 >= -0.0367 and x_1 >= -0.0367 ) ) ) until[10,22] ( ( ( x_1 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.0397 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.096 or x_2 >= -0.009 ) or ( x_0 >= -0.069 and x_0 >= -0.009 ) ) ) )","( x_2 <= -0.4299 or ( x_1 >= 0.2229 until[19,21] x_0 <= -0.2299 ) )","( x_2 >= 0.6683 or ( x_1 <= -0.2186 until[3,8] x_0 >= -0.5117 ) )"
237,"( ( ( x_2 <= -0.733 or x_2 <= -0.833 ) or ( x_2 <= -0.833 and x_2 <= -0.863 ) ) until[2,23] ( ( x_2 <= -0.833 or x_1 <= -0.832 ) or ( x_2 <= -0.6632 or x_2 <= -0.8632 ) ) )","( ( ( ( x_2 <= -0.7055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[20,23] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[27,33] x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[20,29] x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[26,32] x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.6337 or x_2 <= -0.6337 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0997 or x_0 <= -0.0997 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0997 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) until[10,22] ( ( x_0 <= -0.0397 or x_0 <= -0.0399 ) or ( x_0 <= -0.039 and x_0 <= -0.0399 ) ) ) )","eventually[19,21] ( ( x_2 <= -0.9999 or x_1 <= -1.0222 ) )","eventually[9,13] ( eventually[9,15] ( ( x_1 <= -1.8603 or x_2 <= -0.8441 ) ) )"
238,not ( ( ( x_2 >= 0.333 or x_2 >= 0.333 ) or ( x_2 >= 0.333 or x_2 >= 0.363 ) ) ),not ( ( ( x_2 >= 0.5155 and x_2 >= -0.4055 ) and ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) ),not ( ( ( x_2 >= 0.5397 or x_2 >= 0.5397 ) or ( x_2 >= 0.5397 and x_2 >= -0.5397 ) ) ),"eventually[1,13] ( x_2 <= 0.4223 )","( ( not ( eventually[8,17] ( x_0 >= -1.0226 ) ) or x_2 <= 0.4372 ) until[11,20] eventually[12,16] ( x_2 <= 0.6589 ) )"
239,not ( ( ( x_2 <= 0.233 or x_2 <= -0.233 ) or ( x_2 <= -0.1332 or x_2 <= -0.1332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( ( ( x_2 <= -0.0037 or x_2 <= -0.0097 ) or ( x_2 <= -0.0097 and x_2 <= -0.0097 ) ) ),"eventually[16,20] ( x_2 >= -0.0222 )","always[16,20] ( x_2 >= -0.0597 )"
240,( ( ( x_2 >= 0.333 or x_2 >= 0.233 ) and ( x_2 >= -0.333 or x_2 >= -0.333 ) ) and ( ( x_2 >= 0.333 or x_2 >= -0.363 ) or ( x_1 >= -0.363 and x_2 >= -0.363 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1525 or x_2 >= -0.1505 ) ) )",( ( ( x_2 >= -0.0031 or x_2 >= -0.0093 ) or ( x_2 >= -0.0097 and x_2 >= -0.0097 ) ) and ( ( x_2 >= -0.0097 or x_2 >= -0.0097 ) and ( x_0 >= -0.0097 and x_2 >= -0.0097 ) ) ),"( x_2 >= 0.0222 until[1,10] x_2 >= -0.0223 )","not ( ( not ( ( x_2 >= 0.135 until[0,12] always[6,9] ( not ( eventually[9,16] ( ( x_0 >= -1.2141 and x_0 <= -1.2921 ) ) ) ) ) ) or always[19,21] ( eventually ( not ( x_2 >= -2.1175 ) ) ) ) )"
241,not ( ( ( x_2 >= 0.533 or x_2 >= 0.533 ) or ( x_2 >= 0.533 or x_2 >= 0.533 ) ) ),not ( ( ( x_2 >= 0.5155 and x_2 >= -0.5055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) ),not ( not ( not ( x_2 >= 0.5999 ) ) ),not ( x_2 >= 0.5223 ),not ( x_2 >= 0.5264 )
242,( ( ( x_2 >= 0.233 or x_2 >= 0.233 ) and ( x_1 >= 0.233 or x_2 >= 0.233 ) ) and ( ( x_1 >= 0.233 or x_2 >= 0.333 ) or ( x_1 >= -0.1632 and x_1 >= -0.333 ) ) ),"( ( ( ( x_2 <= -0.1055 or x_2 <= -0.1005 ) or ( x_2 <= -0.1005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.1005 and x_2 <= -0.0005 ) or ( x_2 <= -0.1555 or x_2 <= -0.1505 ) ) ) until[1,10] ( ( ( x_2 <= -0.1005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 or x_2 <= -0.1505 ) ) or ( ( x_1 <= -0.1505 or x_2 <= -0.1505 ) or ( x_1 <= -0.1555 or x_2 <= -0.1505 ) ) ) )",( ( ( x_2 >= 0.0031 or x_2 >= 0.0093 ) and ( x_1 >= 0.0097 or x_2 >= -0.0097 ) ) and ( ( x_2 >= 0.0097 and x_1 >= -0.0097 ) and ( x_1 >= -0.0097 and x_2 >= -0.0097 ) ) ),( x_2 >= 0.2223 and x_1 <= 0.2223 ),"( x_2 >= 0.1384 until[9,14] x_1 <= 0.6626 )"
243,not ( not ( not ( x_2 <= -0.528 ) ) ),( ( ( x_2 <= -0.5155 or x_2 <= -0.5005 ) or ( x_2 <= -0.5005 and x_2 <= -0.5005 ) ) and ( ( x_2 <= -0.5005 or x_2 <= -0.2005 ) and ( x_2 <= -0.2005 or x_2 <= -0.2005 ) ) ),not ( ( ( x_2 >= -0.5391 or x_2 >= -0.599 ) or ( x_2 >= -0.5997 or x_2 >= -0.5997 ) ) ),not ( x_2 >= -0.5222 ),not ( x_2 >= -0.5434 )
