,Formula
12820,"( always ( ( ( x_0 <= 0.0193 until[26,inf] x_1 >= -0.3652 ) and not ( x_3 <= -1.5608 ) ) ) until[23,inf] not ( ( always ( x_3 >= -0.0243 ) or always[34,36] ( x_0 <= 0.8757 ) ) ) )"
12821,"( ( always[3,inf] ( eventually[28,31] ( x_1 >= -1.765 ) ) and ( ( x_0 >= 0.3523 or x_0 >= -0.9459 ) until[15,inf] ( x_2 <= 0.5729 and x_1 >= -0.931 ) ) ) or ( always[29,34] ( ( x_0 <= -0.1763 until x_3 >= -0.8772 ) ) and ( ( x_1 >= 0.2231 until[34,36] x_2 >= 0.4655 ) until[0,27] ( x_0 <= 0.3026 or x_0 <= 0.5413 ) ) ) )"
12822,"always[7,15] ( eventually ( ( not ( x_3 >= 0.9909 ) and ( x_1 >= 0.2608 and x_2 <= 0.9984 ) ) ) )"
12823,"not ( ( ( eventually[5,14] ( x_3 <= 0.0897 ) and ( x_2 <= -0.4628 until[28,32] x_0 >= -1.4045 ) ) or not ( ( x_2 <= -0.7552 or x_2 >= 0.2048 ) ) ) )"
12824,"( not ( ( eventually[30,36] ( x_2 <= 0.3991 ) or ( x_1 >= -0.4722 and x_1 >= -1.1256 ) ) ) until[5,22] not ( ( ( x_2 >= 1.4872 and x_1 <= 1.0856 ) or eventually[1,4] ( x_0 <= -0.5577 ) ) ) )"
12825,"not ( eventually[30,32] ( ( not ( x_0 <= -3.1682 ) or eventually[4,18] ( x_3 >= -0.8913 ) ) ) )"
12826,"always[17,22] ( ( ( eventually ( x_0 >= 0.2278 ) until[27,inf] ( x_3 <= 0.3306 and x_0 <= 0.3347 ) ) until[25,35] ( ( x_1 <= -0.4791 or x_2 <= 0.107 ) or ( x_0 <= 0.4286 or x_3 <= 0.0432 ) ) ) )"
12827,"( ( ( ( x_3 >= 0.9946 or x_3 >= -0.5346 ) or ( x_3 >= 0.1712 or x_0 <= 2.2512 ) ) or eventually[4,8] ( always[5,14] ( x_0 >= 2.2767 ) ) ) and ( not ( eventually[9,inf] ( x_0 >= 0.0533 ) ) or ( ( x_2 >= 2.0131 and x_2 >= -0.9431 ) or ( x_3 >= 1.0233 or x_0 <= 0.6501 ) ) ) )"
12828,"not ( ( ( always[31,inf] ( x_0 <= -1.0569 ) until[27,32] ( x_2 <= 0.0047 or x_1 >= 0.9605 ) ) or always[12,20] ( not ( x_2 >= 0.5575 ) ) ) )"
12829,"always[4,inf] ( not ( ( not ( x_3 <= 0.2147 ) until[15,inf] ( x_1 <= 0.7847 until[10,36] x_0 >= 0.7676 ) ) ) )"
12830,"not ( ( ( always[21,25] ( x_0 >= -0.8243 ) and ( x_3 <= -0.8216 and x_0 >= 0.2869 ) ) until always[15,inf] ( not ( x_2 >= -0.6414 ) ) ) )"
12831,"( always[7,inf] ( always[14,inf] ( not ( x_2 <= 1.2356 ) ) ) and ( ( ( x_1 >= 1.3877 and x_3 >= -0.2917 ) and not ( x_0 >= -0.7169 ) ) until[22,inf] ( not ( x_1 >= 0.5873 ) until[3,32] not ( x_1 <= -0.5173 ) ) ) )"
12832,"not ( ( not ( always[30,34] ( x_2 <= 0.5218 ) ) or always ( eventually[13,36] ( x_1 <= 1.4695 ) ) ) )"
12833,"eventually[3,inf] ( ( eventually[29,33] ( ( x_1 <= 1.9436 or x_1 >= -1.3466 ) ) or not ( eventually[20,31] ( x_1 >= 0.8215 ) ) ) )"
12834,"eventually[12,34] ( ( ( ( x_3 <= -1.1019 and x_0 >= -0.7313 ) and always[9,16] ( x_2 >= 0.4761 ) ) or always[0,4] ( eventually ( x_1 <= -0.9991 ) ) ) )"
12835,"( eventually[6,16] ( eventually[9,36] ( always[21,inf] ( x_2 >= -0.2087 ) ) ) and ( ( ( x_3 >= 1.1821 and x_1 >= 0.102 ) and always[9,14] ( x_3 >= 1.6483 ) ) or eventually[16,24] ( always[3,20] ( x_2 <= -0.6938 ) ) ) )"
12836,"( always[4,9] ( ( ( x_2 >= 0.3963 and x_3 <= 1.8901 ) until[11,15] not ( x_1 >= 0.1417 ) ) ) until[23,26] ( ( always[23,34] ( x_2 >= -0.3974 ) or ( x_0 <= 1.9856 or x_3 <= 0.1657 ) ) or not ( ( x_2 >= -0.5379 and x_3 <= 0.251 ) ) ) )"
12837,"( ( eventually[2,15] ( ( x_1 >= -1.2692 and x_3 >= 0.5584 ) ) and not ( ( x_2 <= 0.6282 or x_3 <= -1.6654 ) ) ) or not ( not ( ( x_2 <= 0.3254 and x_0 >= 1.1098 ) ) ) )"
12838,"( ( not ( always[2,5] ( x_0 >= 0.3904 ) ) or not ( ( x_1 <= 1.2177 and x_1 <= -0.3564 ) ) ) until[25,32] ( eventually[3,35] ( ( x_1 <= -0.6146 until x_3 >= 1.7495 ) ) or ( ( x_0 <= -1.2023 or x_0 >= 0.6804 ) and ( x_1 >= -1.2997 or x_1 <= 0.1945 ) ) ) )"
12839,"( ( eventually[14,29] ( ( x_2 <= 0.555 until[6,inf] x_0 >= 1.0934 ) ) and always[12,inf] ( always[22,24] ( x_0 <= -1.156 ) ) ) or always ( ( eventually[33,36] ( x_2 <= -0.2544 ) and eventually[18,24] ( x_3 <= -0.9712 ) ) ) )"
12840,"( always[13,inf] ( ( always[17,inf] ( x_1 <= -1.062 ) or ( x_1 <= 0.1567 and x_3 >= 0.7366 ) ) ) or ( ( not ( x_1 >= 0.3363 ) and ( x_2 <= -1.411 and x_3 >= 1.167 ) ) until[0,35] always[15,inf] ( ( x_2 >= -0.6247 or x_3 >= 0.3044 ) ) ) )"
12841,"not ( always[20,inf] ( not ( ( x_3 <= 1.1557 and x_3 >= -0.3834 ) ) ) )"
12842,"always ( always[32,inf] ( ( always[3,inf] ( x_1 >= 0.518 ) or always ( x_3 >= 0.6244 ) ) ) )"
12843,"not ( ( always[16,32] ( ( x_2 <= -2.4833 until[32,34] x_2 <= 0.4673 ) ) or eventually[24,28] ( ( x_0 >= -0.2789 and x_0 >= 0.9349 ) ) ) )"
12844,"always[9,13] ( ( ( always[7,13] ( x_2 >= 0.841 ) and ( x_1 >= -1.7164 or x_0 <= 0.4646 ) ) until[23,34] ( eventually[0,13] ( x_3 >= 1.0645 ) and always[28,32] ( x_0 <= 1.4493 ) ) ) )"
12845,"eventually[8,inf] ( eventually[16,33] ( not ( ( x_2 >= -0.8455 until[24,32] x_1 >= 1.0952 ) ) ) )"
12846,"( ( ( ( x_0 <= 0.212 or x_0 >= 0.7523 ) or always[25,33] ( x_1 >= -0.7166 ) ) or always[1,17] ( ( x_3 <= 1.6089 until x_2 >= -0.4195 ) ) ) until[31,34] ( ( ( x_3 <= -0.8988 until[10,32] x_0 <= -0.4464 ) and ( x_0 >= 0.4808 until x_1 <= -0.599 ) ) or ( always[28,33] ( x_3 <= -0.1811 ) or ( x_3 >= -1.7753 and x_3 >= 1.0979 ) ) ) )"
12847,"( ( always[9,32] ( ( x_0 >= 0.2198 and x_3 >= 0.3706 ) ) and ( ( x_2 <= 0.0254 or x_0 >= 0.8288 ) and ( x_3 >= -0.0041 until[18,29] x_1 >= -0.5654 ) ) ) until[1,35] ( always[16,19] ( ( x_3 <= 1.6074 and x_1 >= -0.0612 ) ) or eventually[6,inf] ( ( x_1 >= -0.3179 and x_1 <= -1.565 ) ) ) )"
12848,"( ( ( ( x_0 >= 0.0286 and x_2 <= -1.4384 ) and not ( x_0 <= -0.3761 ) ) and eventually[19,32] ( ( x_2 <= -0.4134 and x_0 >= 0.5432 ) ) ) until[17,inf] ( eventually[16,24] ( not ( x_1 >= 1.6013 ) ) until[21,28] not ( ( x_3 >= 0.4558 or x_1 >= 0.1231 ) ) ) )"
12849,"( not ( ( always[0,28] ( x_0 <= 0.2605 ) and ( x_1 <= 1.6098 and x_2 <= -1.352 ) ) ) or not ( not ( ( x_2 >= 1.8568 until[28,34] x_0 <= -0.3609 ) ) ) )"
12850,"( ( not ( ( x_0 <= -0.988 and x_1 <= 0.4148 ) ) and always[10,30] ( not ( x_2 <= 1.1416 ) ) ) or ( eventually[15,24] ( ( x_3 >= 0.2373 and x_0 >= -0.3106 ) ) or ( always[30,inf] ( x_0 >= 0.1094 ) or always[24,34] ( x_1 <= -1.1762 ) ) ) )"
12851,"eventually[18,inf] ( ( ( ( x_3 <= 1.0683 or x_3 <= 0.2689 ) or always[32,34] ( x_3 <= -0.4306 ) ) and ( not ( x_1 >= -0.6268 ) and ( x_1 <= 0.9924 and x_2 >= -1.1708 ) ) ) )"
12852,"eventually[1,5] ( eventually[27,30] ( always ( ( x_0 >= -0.3015 and x_0 >= -0.0989 ) ) ) )"
12853,"( ( always[28,35] ( always[11,inf] ( x_3 <= -0.5391 ) ) until[4,inf] ( not ( x_3 <= -1.103 ) or ( x_0 <= -0.0214 until[3,32] x_0 <= 0.2888 ) ) ) and ( ( always[34,inf] ( x_3 <= 1.1273 ) or eventually[21,inf] ( x_1 >= -1.9744 ) ) and always[8,33] ( ( x_3 <= -0.2972 until[4,21] x_2 <= -0.7456 ) ) ) )"
12854,"eventually[23,30] ( ( eventually[4,inf] ( not ( x_2 <= 1.0057 ) ) and not ( always[16,19] ( x_3 <= -0.9254 ) ) ) )"
12855,"eventually[10,13] ( always[29,inf] ( not ( ( x_1 <= -0.7351 or x_3 <= 0.7028 ) ) ) )"
12856,"( ( not ( eventually[3,17] ( x_3 >= 0.7081 ) ) and ( not ( x_3 <= 1.033 ) or always[16,18] ( x_0 >= 1.0653 ) ) ) and always[29,36] ( ( not ( x_2 >= 0.0187 ) and not ( x_1 >= 0.1723 ) ) ) )"
12857,"not ( not ( ( ( x_1 <= 1.1591 and x_1 <= -1.0975 ) until[16,20] ( x_3 >= 1.4515 until[1,27] x_1 <= 0.0523 ) ) ) )"
12858,"always[0,24] ( eventually[12,inf] ( ( always[26,36] ( x_3 <= 0.7815 ) or ( x_2 <= 0.6986 and x_0 <= -0.5053 ) ) ) )"
12859,"( not ( ( not ( x_0 <= -0.5952 ) until[2,23] ( x_0 <= -0.379 or x_3 <= 0.1342 ) ) ) until[27,31] always[34,inf] ( ( not ( x_0 <= 0.6613 ) and ( x_3 >= -0.4397 or x_1 <= 0.4078 ) ) ) )"
12860,"eventually ( always[13,21] ( always[17,21] ( ( x_3 <= -0.4414 until[0,33] x_1 <= -1.3668 ) ) ) )"
12861,"eventually[21,inf] ( ( eventually[21,30] ( always[5,7] ( x_1 <= 2.0594 ) ) and ( ( x_0 >= -0.8841 or x_2 >= -0.0879 ) or not ( x_3 >= 0.8457 ) ) ) )"
12862,"always[19,26] ( ( ( ( x_0 <= 0.8973 or x_1 <= 0.4663 ) until[10,inf] ( x_3 >= 1.5467 and x_0 <= -0.9072 ) ) or ( not ( x_0 <= -0.6726 ) or ( x_0 <= -0.0108 until[30,35] x_0 >= 1.4446 ) ) ) )"
12863,"( ( ( ( x_0 >= -0.4021 until[21,28] x_1 <= -1.0104 ) and always[32,36] ( x_1 >= -0.3514 ) ) and not ( ( x_3 >= -2.2344 until x_1 >= 0.5339 ) ) ) or always[1,8] ( ( eventually[17,33] ( x_3 >= -0.77 ) and eventually ( x_1 <= -0.8393 ) ) ) )"
12864,"( ( ( ( x_2 <= 0.1566 or x_2 <= 1.3597 ) or always[14,19] ( x_1 <= -0.7652 ) ) and ( ( x_2 <= 1.5836 or x_0 >= -0.7515 ) and ( x_0 <= -0.613 and x_1 >= 2.155 ) ) ) until[6,13] always[29,36] ( always[28,35] ( not ( x_3 <= 0.641 ) ) ) )"
12865,"( always[1,25] ( eventually[13,31] ( ( x_1 >= -0.0757 and x_1 >= -0.6937 ) ) ) until ( not ( ( x_3 >= 0.89 and x_0 <= -0.6336 ) ) or ( ( x_2 <= 3.4439 and x_3 >= -0.9794 ) and eventually[16,30] ( x_3 >= -1.2085 ) ) ) )"
12866,"always[32,35] ( not ( always[7,inf] ( ( x_1 <= 1.4019 or x_1 >= 0.9432 ) ) ) )"
12867,"always[29,36] ( ( eventually[15,30] ( eventually[24,32] ( x_3 <= -1.8889 ) ) or ( ( x_2 >= -0.7816 and x_1 <= -1.5816 ) and ( x_3 <= -1.594 and x_3 >= 1.3068 ) ) ) )"
12868,"( not ( ( not ( x_0 <= 1.4742 ) or ( x_0 >= 0.3388 until[22,26] x_0 <= -0.7725 ) ) ) until[4,7] eventually[23,26] ( not ( ( x_0 <= -0.0873 until[16,24] x_3 <= -0.9074 ) ) ) )"
12869,"always[24,31] ( ( eventually[12,inf] ( not ( x_3 >= -2.195 ) ) or always[7,31] ( ( x_1 >= 1.5948 or x_2 <= -0.1859 ) ) ) )"
12870,"not ( always[32,35] ( not ( eventually[16,inf] ( x_3 <= -0.4159 ) ) ) )"
12871,"( ( ( not ( x_3 >= 0.828 ) and ( x_0 <= -1.1163 or x_3 <= -0.4372 ) ) or always[22,36] ( ( x_0 <= -0.0953 and x_3 >= -0.5928 ) ) ) until[3,inf] ( not ( ( x_0 >= 2.0395 and x_1 <= -0.5749 ) ) or ( ( x_3 <= -0.1515 until[6,inf] x_0 >= 1.0761 ) and always[9,inf] ( x_0 >= -1.7709 ) ) ) )"
12872,"eventually[0,3] ( ( ( ( x_3 <= -0.2967 until[23,33] x_1 >= -1.2151 ) and ( x_0 <= 0.741 until[2,14] x_3 >= -0.221 ) ) or not ( ( x_1 >= -1.5574 and x_1 <= -1.8729 ) ) ) )"
12873,"( eventually[2,25] ( ( always[18,20] ( x_1 <= 1.5044 ) and not ( x_2 <= -1.4899 ) ) ) or eventually[27,33] ( always[1,36] ( not ( x_3 >= -0.7629 ) ) ) )"
12874,"always[19,34] ( ( ( ( x_0 <= -0.863 and x_2 >= -0.8234 ) until[23,30] always[18,34] ( x_0 >= 0.3345 ) ) or always[32,inf] ( ( x_3 >= 0.7843 until[11,inf] x_1 >= 0.2581 ) ) ) )"
12875,"eventually[13,17] ( ( ( ( x_1 <= 0.7589 until[18,31] x_2 >= 2.4238 ) until[4,20] ( x_0 <= -0.2389 or x_0 <= 0.5018 ) ) until[28,33] not ( not ( x_1 <= 0.3231 ) ) ) )"
12876,"( ( ( ( x_3 <= -0.1961 until[4,inf] x_1 <= 0.0148 ) until[5,26] always[31,inf] ( x_2 >= 0.7489 ) ) and ( ( x_0 <= -1.6827 or x_2 >= -1.2835 ) until[24,29] eventually[2,22] ( x_1 <= -0.7009 ) ) ) until[24,28] not ( not ( ( x_0 <= 0.1795 or x_0 <= 0.3153 ) ) ) )"
12877,"( not ( ( ( x_2 <= 0.4118 or x_3 <= 1.8332 ) and ( x_1 <= -0.4878 and x_0 <= 0.7188 ) ) ) until[32,36] not ( always[18,36] ( not ( x_2 >= 2.4876 ) ) ) )"
12878,"( not ( ( ( x_0 <= -0.2201 or x_3 >= -2.2208 ) until[30,36] ( x_2 <= -1.8123 until[29,32] x_1 >= 0.5909 ) ) ) and eventually[5,26] ( always[21,27] ( ( x_2 >= -1.1175 and x_1 <= -1.1435 ) ) ) )"
12879,"eventually[7,31] ( eventually ( ( eventually ( x_1 <= -0.2987 ) and eventually[11,32] ( x_3 <= 0.5105 ) ) ) )"
12880,"( ( always[34,inf] ( eventually[4,inf] ( x_2 <= -0.1525 ) ) and eventually[19,33] ( always[13,29] ( x_3 <= 0.7109 ) ) ) and not ( not ( always[3,21] ( x_1 >= -0.128 ) ) ) )"
12881,"( ( not ( ( x_3 <= -1.0453 until[26,32] x_1 >= 1.142 ) ) or not ( ( x_2 >= -1.4265 until[33,35] x_1 <= -1.7146 ) ) ) and eventually[32,36] ( always[6,inf] ( always[27,inf] ( x_2 <= -0.5351 ) ) ) )"
12882,"not ( ( ( eventually[8,11] ( x_3 >= 0.3527 ) until eventually[20,36] ( x_0 <= 0.539 ) ) until[26,inf] ( eventually[13,29] ( x_1 <= 1.0786 ) or ( x_0 <= 0.2584 and x_0 <= -0.5842 ) ) ) )"
12883,"( ( ( always[12,inf] ( x_0 <= 0.261 ) or not ( x_3 >= -0.6997 ) ) and ( ( x_2 <= 0.5449 or x_3 <= -1.5603 ) until[27,inf] not ( x_0 <= 0.5993 ) ) ) or eventually[19,inf] ( not ( not ( x_3 >= -0.1527 ) ) ) )"
12884,eventually ( ( not ( not ( x_0 <= -0.6588 ) ) until ( always ( x_0 >= 2.5376 ) or ( x_2 >= 0.0466 and x_3 <= 0.405 ) ) ) )
12885,"not ( eventually[27,31] ( ( ( x_0 <= -1.543 until[31,33] x_3 <= 0.6111 ) or ( x_3 >= 2.4274 or x_2 <= -1.1565 ) ) ) )"
12886,"not ( ( eventually ( eventually[23,36] ( x_0 >= 2.0521 ) ) or eventually[13,inf] ( eventually ( x_2 >= 1.1017 ) ) ) )"
12887,"eventually[8,22] ( ( not ( ( x_1 >= 1.7918 or x_3 >= 0.0748 ) ) until[5,inf] not ( ( x_3 >= -0.2614 and x_3 >= -0.6021 ) ) ) )"
12888,"( ( ( ( x_0 >= 1.0499 and x_1 >= -0.4523 ) and not ( x_2 >= 0.4423 ) ) and ( ( x_0 >= 1.0019 until[13,29] x_0 >= -0.71 ) or eventually[11,36] ( x_2 <= -0.5033 ) ) ) or ( ( eventually[30,33] ( x_0 >= -0.0487 ) and not ( x_2 >= -0.4928 ) ) or ( ( x_2 >= -0.428 and x_1 >= 0.5668 ) until[19,33] ( x_0 <= -0.9154 until[24,27] x_1 <= 0.3975 ) ) ) )"
12889,"always[2,25] ( not ( ( always[10,16] ( x_2 <= -0.4281 ) or ( x_3 >= -1.7465 until[1,36] x_2 >= -0.2735 ) ) ) )"
12890,"always[18,inf] ( ( ( ( x_3 <= -0.5915 and x_3 <= -2.5819 ) or eventually[34,36] ( x_0 <= 0.517 ) ) or always[2,inf] ( eventually[10,21] ( x_3 >= -1.2187 ) ) ) )"
12891,"not ( ( always[9,23] ( not ( x_1 <= -0.5397 ) ) and ( ( x_3 <= -1.0286 or x_0 <= 0.0082 ) and not ( x_1 <= 0.4251 ) ) ) )"
12892,"( ( ( always[17,31] ( x_0 <= -1.1368 ) and always[27,35] ( x_2 <= 1.2636 ) ) and always[6,33] ( ( x_0 <= 1.1102 and x_0 <= -0.756 ) ) ) or not ( ( ( x_3 >= 0.8037 and x_0 >= -0.2459 ) or ( x_2 <= -0.8671 and x_0 <= 0.8041 ) ) ) )"
12893,"( ( not ( eventually[4,inf] ( x_1 >= 0.8223 ) ) or ( always[8,33] ( x_0 >= 0.7406 ) and always[1,13] ( x_1 >= 0.5642 ) ) ) until[0,4] not ( ( always[24,inf] ( x_0 >= 0.4915 ) until[26,34] ( x_1 <= 0.7093 and x_1 >= 0.417 ) ) ) )"
12894,"always[31,34] ( ( eventually[10,32] ( ( x_0 >= 0.4575 until[9,32] x_2 >= 1.6834 ) ) or ( ( x_2 >= 1.4839 and x_0 <= -0.0296 ) and ( x_3 >= 0.2768 until[2,inf] x_0 >= -0.3897 ) ) ) )"
12895,"not ( ( always[4,9] ( not ( x_3 <= -0.687 ) ) and always[5,26] ( ( x_0 <= -1.3893 and x_0 <= -1.4589 ) ) ) )"
12896,"always[26,32] ( ( eventually[27,33] ( not ( x_3 >= 1.2243 ) ) and always[15,inf] ( ( x_0 >= -0.4755 and x_1 <= -0.5112 ) ) ) )"
12897,"( eventually[4,30] ( always[8,26] ( ( x_1 >= 1.4986 and x_1 >= -0.5182 ) ) ) and ( not ( always[10,inf] ( x_1 <= 0.2289 ) ) or ( ( x_1 <= 0.7638 until x_3 <= -0.7632 ) and not ( x_3 <= 1.8214 ) ) ) )"
12898,"not ( ( ( always[0,13] ( x_1 >= 0.81 ) and ( x_0 <= 0.8028 until[29,35] x_2 >= 1.0071 ) ) until[18,25] not ( not ( x_3 <= 0.7272 ) ) ) )"
12899,"( ( always[22,32] ( not ( x_3 >= -0.1431 ) ) until[23,35] eventually[1,28] ( not ( x_3 >= 0.0345 ) ) ) and not ( eventually[24,32] ( always[31,33] ( x_3 <= -0.1681 ) ) ) )"
12900,"( ( ( eventually[31,inf] ( x_3 >= -0.0767 ) and ( x_2 >= -1.2343 until[32,35] x_0 <= 0.5147 ) ) until[5,32] not ( ( x_2 <= 2.2485 and x_3 >= 1.1626 ) ) ) and ( ( ( x_1 <= 1.4368 and x_2 >= -1.5377 ) or ( x_3 <= 0.7598 until[4,17] x_1 >= -0.8209 ) ) or not ( ( x_3 <= -0.9859 or x_3 <= -0.6426 ) ) ) )"
12901,"( ( ( ( x_2 >= 0.7746 until x_3 <= -1.548 ) or always ( x_3 <= 0.2955 ) ) or eventually[7,inf] ( not ( x_1 >= 0.2481 ) ) ) and ( ( ( x_2 <= -1.8807 or x_1 <= 0.1548 ) or ( x_0 <= 0.0879 until[13,17] x_2 <= 0.9032 ) ) or ( always[11,20] ( x_1 <= 2.2952 ) and always[30,36] ( x_3 >= -0.5554 ) ) ) )"
12902,"not ( ( ( ( x_2 <= -1.1243 or x_0 >= 0.5908 ) until[10,32] ( x_0 <= 0.1937 and x_1 <= -0.7328 ) ) and ( ( x_1 >= -0.767 until[18,inf] x_1 <= 0.4556 ) and always[23,31] ( x_0 <= -0.619 ) ) ) )"
12903,"( ( eventually ( ( x_1 >= 2.1359 and x_0 <= -1.4096 ) ) and eventually[13,25] ( always[21,28] ( x_3 <= 1.8126 ) ) ) until[17,inf] ( not ( not ( x_3 >= 1.9178 ) ) or not ( always[2,14] ( x_3 >= 0.526 ) ) ) )"
12904,"( ( ( ( x_2 <= -1.0666 or x_2 >= -0.6709 ) until[26,32] ( x_3 >= -0.1029 or x_2 <= 1.1976 ) ) or ( ( x_1 <= -0.2716 or x_1 >= 0.0071 ) and ( x_3 <= -0.455 or x_3 <= -1.0684 ) ) ) and always[29,33] ( ( ( x_0 >= -0.4505 and x_0 <= -0.6922 ) or eventually[22,32] ( x_1 >= -0.5486 ) ) ) )"
12905,"( ( ( ( x_1 <= 0.6858 and x_3 <= 2.2227 ) or always[30,35] ( x_1 >= -0.4473 ) ) or always[33,36] ( ( x_0 <= 0.0866 until[31,33] x_1 >= 0.5936 ) ) ) or ( eventually ( not ( x_0 >= 0.3502 ) ) or ( eventually[12,17] ( x_2 >= -0.3908 ) or ( x_0 <= -1.4991 or x_1 <= -0.7188 ) ) ) )"
12906,"always ( not ( ( ( x_2 <= 0.4912 until[31,35] x_1 <= -0.6818 ) or eventually[16,33] ( x_1 <= -1.2032 ) ) ) )"
12907,"( eventually[8,34] ( ( ( x_1 <= -0.3509 until[3,35] x_1 >= 0.6079 ) and ( x_1 <= -0.9389 or x_1 <= -0.6858 ) ) ) or eventually[1,inf] ( eventually[3,inf] ( ( x_3 <= 0.192 until[25,28] x_1 <= -0.2669 ) ) ) )"
12908,"( eventually ( ( ( x_3 <= -0.2403 until[14,31] x_2 <= 0.1658 ) or always[6,8] ( x_2 >= -0.4781 ) ) ) until not ( always ( not ( x_0 <= 0.7074 ) ) ) )"
12909,"( not ( not ( ( x_1 >= -0.3951 or x_3 <= 0.6271 ) ) ) and not ( eventually[10,28] ( ( x_3 >= 2.4014 until[26,28] x_2 >= -0.6052 ) ) ) )"
12910,"( always ( eventually[5,inf] ( eventually[16,33] ( x_3 <= -0.1207 ) ) ) until[8,21] ( always[33,36] ( ( x_0 <= -1.2809 until[7,inf] x_0 >= -2.1043 ) ) and ( not ( x_1 >= 2.3543 ) until[4,7] always[1,inf] ( x_3 <= 0.9184 ) ) ) )"
12911,"eventually[22,34] ( not ( eventually[12,inf] ( always[7,35] ( x_2 >= 0.117 ) ) ) )"
12912,"( ( not ( ( x_2 <= 0.0969 and x_1 <= 1.6151 ) ) until[10,26] ( not ( x_3 >= -1.7509 ) or ( x_0 <= -0.3974 or x_1 >= -0.3348 ) ) ) until[5,28] not ( eventually[7,29] ( ( x_0 <= -0.0954 and x_1 <= -0.2984 ) ) ) )"
12913,"not ( not ( ( not ( x_3 <= -0.1407 ) and eventually[23,33] ( x_1 >= -0.1409 ) ) ) )"
12914,"always[17,28] ( not ( always[1,inf] ( ( x_1 <= 1.5317 until[3,35] x_0 >= -1.059 ) ) ) )"
12915,"always[4,inf] ( ( ( eventually[15,inf] ( x_0 >= -0.7632 ) until[2,4] not ( x_0 >= 0.7906 ) ) until always[19,25] ( eventually ( x_0 <= -0.5976 ) ) ) )"
12916,"eventually[17,20] ( eventually[17,inf] ( always[27,34] ( not ( x_0 >= 0.8287 ) ) ) )"
12917,"( ( eventually[26,30] ( ( x_0 >= 0.5375 and x_1 <= 0.4396 ) ) and ( ( x_0 >= -0.5514 until[34,36] x_2 >= -1.0761 ) or ( x_3 >= -0.3714 and x_1 <= 1.7731 ) ) ) or ( eventually[18,27] ( ( x_2 <= -0.3298 and x_1 <= -0.1987 ) ) and ( ( x_0 <= 0.8354 and x_0 >= -0.3181 ) and eventually ( x_0 >= 0.4312 ) ) ) )"
12918,"( eventually[4,24] ( ( ( x_2 >= 0.3364 until[12,27] x_2 <= 0.2375 ) or always[29,31] ( x_0 <= -0.7467 ) ) ) or ( ( ( x_1 <= -0.2732 or x_1 <= 0.2999 ) or not ( x_2 <= 0.2764 ) ) until[4,13] ( not ( x_2 <= -0.3798 ) and ( x_2 <= -0.0959 until[25,35] x_0 >= -0.4733 ) ) ) )"
12919,"( ( not ( not ( x_0 >= -0.7244 ) ) until[9,35] always ( ( x_2 >= -0.0494 or x_0 <= 0.7277 ) ) ) until[25,30] ( not ( not ( x_1 <= -1.1082 ) ) or ( ( x_2 <= 1.0602 or x_1 <= 1.2376 ) and always[13,27] ( x_2 <= 0.0577 ) ) ) )"
12920,"eventually[4,inf] ( not ( ( ( x_0 <= 0.2623 or x_0 >= 2.2832 ) and ( x_1 <= 0.1576 until[7,26] x_0 <= 1.6209 ) ) ) )"
12921,"not ( eventually[0,36] ( ( eventually[17,21] ( x_3 >= 0.4609 ) until[3,14] ( x_0 <= -0.1614 or x_2 <= 0.1433 ) ) ) )"
12922,"always[32,inf] ( always[27,33] ( not ( ( x_3 >= 0.6863 or x_0 <= 0.5605 ) ) ) )"
12923,"eventually[17,inf] ( eventually[12,36] ( ( eventually[24,34] ( x_3 >= -1.1701 ) and eventually[29,33] ( x_3 <= 2.1255 ) ) ) )"
12924,"( eventually[33,inf] ( ( ( x_2 >= -1.4134 and x_3 >= -2.0176 ) until[4,inf] always[24,26] ( x_1 <= -0.0709 ) ) ) and always[23,25] ( eventually[10,12] ( ( x_1 <= 0.9492 and x_2 >= 0.9242 ) ) ) )"
12925,"( ( ( eventually[15,27] ( x_3 >= -0.8603 ) until[19,32] not ( x_1 <= -0.1105 ) ) or always[29,35] ( always[13,20] ( x_2 <= 1.0688 ) ) ) until eventually ( ( ( x_2 <= -0.0478 or x_1 >= 0.2644 ) and always[2,inf] ( x_3 >= -0.3122 ) ) ) )"
12926,"( ( not ( ( x_2 <= -0.6261 and x_1 <= -0.2319 ) ) or ( not ( x_2 <= 0.1671 ) and not ( x_2 <= -0.7696 ) ) ) until[12,inf] ( ( always[16,33] ( x_0 >= -0.9721 ) until[15,23] ( x_2 <= 0.159 and x_0 >= -0.8282 ) ) and ( ( x_0 >= 1.6785 until[25,inf] x_1 >= -0.0454 ) and ( x_1 >= -0.2383 or x_2 <= -1.2471 ) ) ) )"
12927,"not ( ( eventually[2,9] ( ( x_1 <= -0.1182 or x_3 >= 0.2961 ) ) or ( not ( x_3 <= -0.0276 ) and always[27,29] ( x_1 <= -2.7214 ) ) ) )"
12928,"( always ( always[27,29] ( ( x_0 <= 3.2055 until x_2 <= -0.2928 ) ) ) and always[34,inf] ( eventually[27,30] ( not ( x_0 >= 0.2658 ) ) ) )"
12929,not ( ( ( ( x_3 <= -0.1964 or x_0 <= -1.4478 ) or ( x_2 <= -0.5254 or x_2 <= 1.1599 ) ) and not ( ( x_3 >= -0.4854 and x_3 <= 1.4269 ) ) ) )
